user_id,dietary_preferences,activity_levels,health_goals,tdee,bmi,liked_ingredients,disliked_ingredients
1,['PES'],"['SED', 'MOD']","['GAI', 'FIT']",2458,23.4,"['Canola oil', 'Peppers', 'Beef', 'Sweet potatoes', 'Seaweed', 'Kontomire Leaves', 'Haddock', 'Mushroom broth', 'Broth', 'Sauce', 'Celery salt', 'Cashew milk']","['Noodles', 'Saltpere', 'Dry spices', 'Red palm nut extract', 'Almonds', 'Lobster']"
2,['VER'],"['MOD', 'SED']",['GAI'],2856,43.5,"['Collard greens', 'Kuuka powder', 'Chili paste', 'Bananas', 'Carrots', 'Offal', 'Moringa powder', 'Lamb', 'Leeks', 'Almond milk', 'Ginger', 'Wrewre seeds']","['Olive oil', 'Avocado oil', 'Peas', 'Quinoa pasta', 'Almonds', 'Veggie sausage', 'Quinoa']"
3,['LOW_CARB'],"['SED', 'LIG']","['MAI', 'FIT']",2141,23.7,"['Cashews', 'Dry spices', 'Snails', 'Potatoes', 'Shallots', 'Avocado oil', 'Haddock', 'Fresh fish', 'Cayenne pepper', 'Carrots', 'Mutton', 'Goat meat', 'Green scotch bonnet']","['Garden eggs', 'Seaweed', 'Bulgur', 'Kpakposhito paste', 'Sweet potatoes', 'Chicken liver']"
4,"['PES', 'VEG', 'HAL']",['LIG'],"['MAI', 'GAI']",2349,38.7,"['Mushrooms', 'Kale', 'Lamb', 'Tilapia', 'Peas', 'Moringa leaves', 'Cucumbers', 'Catfish', 'Lobster', 'Palm oil']","['Rice', 'Cilantro', 'Clams']"
5,['VEG'],"['VER', 'MOD']",['LOS'],2749,30.7,"['Garlic', 'Cod', 'Lobster', 'Chicken', 'Tofu', 'Moringa leaves', 'Mackerel']","['Chicken liver', 'Cilantro', 'Habanero', 'Dried cod', 'Clams', 'Cheese', 'Yellow squash']"
6,"['VER', 'GLU', 'HIGH_PROTEIN']",['SED'],"['LOS', 'GAI']",2302,23.3,"['Almonds', 'Dry spices', 'Offal', 'Green beans', 'Avocado oil', 'Chilli powder', 'Hot sauce', 'Peanuts', 'Lamb', 'Chicken liver', 'Kpakposhito paste', 'Garlic powder', 'Chickpeas']","['Okro', 'Cayenne pepper', 'Yogurt', 'Bacon', 'Catfish', 'Spaghetti', 'Leeks', 'Rice noodles']"
7,"['PES', 'VER', 'HAL']","['LIG', 'LIG']","['MUS', 'LOS']",2773,30.7,"['Seitan', 'Ademe leaves', 'Tofu', 'Turkey', 'Gravy', 'Peppers']","['Fresh fish', 'Koobi', 'Almond yoghurt', 'Peas', 'Moringa powder', 'Bulgur', 'Almond milk', 'Shrimp']"
8,['GLU'],['LIG'],"['MAI', 'FIT']",2900,30.1,"['Cashew milk', 'Rice noodles', 'dry_salted_fish', 'Chickpeas', 'Garlic powder', 'Bell peppers', 'Momoni', 'Chicken liver', 'Turkey', 'Chicken sausage', 'Red palm nut extract', 'Mussels', 'Gravy', 'Garlic', 'Cilantro']","['Miso paste', 'Green scotch bonnet', 'Canola oil', 'Wrewre seeds', 'Koobi']"
9,"['VER', 'HAL', 'PES']","['MOD', 'LIG']",['MUS'],2982,28.1,"['Cashew milk', 'Dry spices', 'Swiss chard', 'Green scotch bonnet', 'Garden eggs', 'Sweet potatoes', 'Saffron', 'Chicken liver']","['Mushrooms', 'Coconut oil', 'Greek yoghurt', 'Vegetable broth', 'Whole wheat pasta']"
10,"['LOW_CARB', 'VER']",['SED'],['MAI'],2085,22.8,"['Wrewre seeds', 'Sausages', 'Catfish', 'Red palm nut extract', 'Kuuka powder']","['Gravy', 'Black beans', 'Hot sauce', 'Cream', 'Bulgur', 'Tofu', 'Smoked fish']"
11,"['LOW_CARB', 'VER', 'PES']",['MOD'],"['LOS', 'MUS']",2641,30.9,"['Moringa powder', 'Canola oil', 'Periwinkle', 'Eggs', 'Chickpeas', 'Gravy', 'Sweet potatoes', 'Veggie sausage', 'Beef']","['Shallots', 'Smoked mackerel', 'Peanuts', 'Cheese', 'Vegetable oil', 'Yogurt']"
12,"['VEG', 'LOW_CARB']","['VER', 'LIG']","['MUS', 'FIT']",2541,32.7,"['Kale', 'Clams', 'Shallots', 'Plantains', 'Onions', 'Cream']","['Dry smoked river fish', 'Haddock', 'Avocado oil']"
