recipe_id,name,ingredients,cuisine,recipe_info,vegan,vegetarian,gluten_free,pescatarian,halal,meal_type,dish_type,tags,nutrition_info_id,calories,protein,carbs,fat,fiber
k1bgscdt,Chicken Light Soup,"['chicken','tomatoes','onions','pepper','garden eggs','garlic','ginger','onions','kpakposhito paste','dry spices','salt','stock cube']",['ghanaian'],High in protein and balanced,FALSE,FALSE,TRUE,FALSE,TRUE,"['lunch','dinner']","['soup','one-pot']",['high-protein'],zqyXD7p6,320,35,0,38,8
tUC3N6uG,Jollof Rice,"['rice','tomatoes','onions','peppers']",['west african'],high carb,TRUE,TRUE,TRUE,TRUE,TRUE,"['lunch','dinner']",['carb'],['moderate-carbs'],FO3c0g0Q,350,5,0,5,0
uRy0QtoP,Grilled Chicken Suya,"['chicken','peanuts','spices']","['west african','nigerian']",high protein,FALSE,FALSE,TRUE,FALSE,TRUE,"['lunch','dinner']",['protein'],['high-protein'],1c7kOigs,250,30,0,15,0
jdB21FN1,Sautéed Spinach,"['spinach','garlic','olive oil']","['west african','european']",low calorie,TRUE,TRUE,TRUE,TRUE,TRUE,"['lunch','dinner']",['vegetable'],['organic'],djyzqKqL,50,3,0,3,0
uH7iQL4u,Moi Moi,"['beans','peppers','onions','spices']","['west african','nigerian']",balanced,TRUE,TRUE,TRUE,TRUE,TRUE,"['lunch','dinner']",['side'],"['balanced','high-protein']",jInr3hBn,200,10,0,5,0
jzhVpOhI,Bangers and Mash,"['sausages','potatoes','gravy']",['european'],high carb,FALSE,FALSE,FALSE,FALSE,TRUE,"['lunch','dinner']",['carb'],"['balanced','moderate-protein','moderate-carbs']",cmcGjKtL,500,20,0,20,0
Qmdy9htZ,Spaghetti Carbonara,"['spaghetti','eggs','bacon','cheese']",['european'],high protein,FALSE,FALSE,FALSE,FALSE,FALSE,"['lunch','dinner']",['carb'],['balanced'],xsK7jvNy,600,25,0,25,0
0j71MKTb,Paella,"['rice','seafood','saffron']",['european'],balanced,FALSE,FALSE,TRUE,TRUE,TRUE,"['lunch','dinner']",['protein'],['balanced'],Cuj4g2LI,400,25,0,15,0
qJbCl7VC,Falafel Wrap,"['chickpeas','spices','vegetables']",['middle eastern'],balanced,TRUE,TRUE,TRUE,TRUE,TRUE,"['lunch','dinner']","['protein','carb']",['balanced'],1abOSvke,350,12,0,10,0
5CamoZxA,Chicken Biryani,"['chicken','spices','rice']",['asian'],high protein,FALSE,FALSE,FALSE,FALSE,TRUE,"['lunch','dinner']",['protein'],['balanced'],HG0wo1HR,450,30,0,10,0
dX19iwJm,Sushi,"['rice','seaweed','fish']",['asian'],low calorie,FALSE,FALSE,TRUE,TRUE,TRUE,"['lunch','dinner']",['side'],['balanced'],dqVjb1KA,200,15,0,5,0
Drm3CTYz,Pad Thai,"['noodles','shrimp','tofu']",['asian'],balanced,FALSE,FALSE,FALSE,TRUE,TRUE,"['lunch','dinner']",['protein'],['balanced'],sZ0k9oGB,500,20,0,20,0
Ag6cxBHZ,Dal Tadka,"['lentils','spices']",['indian'],high protein,TRUE,TRUE,TRUE,FALSE,TRUE,"['lunch','dinner']",['protein'],['balanced'],hsswzR2C,250,15,0,8,0
vR9rKBQT,Nkrakra (Meat Light Soup),"['beef','tomatoes','onions','pepper','garden eggs','garlic','ginger','onions','kpakposhito paste','dry spices','salt','stock cube']",['ghanaian'],balanced,FALSE,FALSE,TRUE,FALSE,TRUE,"['lunch','dinner']",['soup'],['balanced'],ScsgCvaK,436,32,0,40,0
SlzYT1MJ,Tilapia Light Soup,"['tilapia','tomatoes','onions','pepper','garden eggs','garlic','ginger','onions','kpakposhito paste','dry spices','salt','stock cube']",['ghanaian'],balanced,FALSE,FALSE,TRUE,TRUE,TRUE,"['lunch','dinner']",['soup'],['balanced'],S4WNRFtQ,280,30,0,38,0
qU4uOTmZ,Goat Meat Light Soup,"['goat meat','tomatoes','onions','pepper','garden eggs','garlic','ginger','onions','kpakposhito paste','dry spices','salt','stock cube']",['ghanaian'],balanced,FALSE,FALSE,TRUE,FALSE,TRUE,"['lunch','dinner']",['soup'],['balanced'],xMw86Hrt,350,33,0,38,0
OzPxKhDj,Tofu Light Soup,"['tofu','tomatoes','onions','pepper','garden eggs','garlic','ginger','onions','kpakposhito paste','dry spices','salt','stock cube']",['ghanaian'],balanced,TRUE,TRUE,TRUE,TRUE,TRUE,"['lunch','dinner']",['soup'],"['moderate-protein','balanced','low-fat']",hZKI7ZvO,262,14,0,39,0
Tr4B1mJk,Apofoanto Light Soup (Fresh Fish Light Soup),"['fresh fish','tomatoes','onions','pepper','garden eggs','garlic','ginger','onions','kpakposhito paste','dry spices','salt','stock cube']",['ghanaian'],balanced,FALSE,FALSE,TRUE,TRUE,TRUE,"['lunch','dinner']",['soup'],['balanced'],3Hl9xgBh,270,28,0,38,0
L9igsYKi,Abe Nkwan (Palm Nut Soup),"['red palm nut extract','snails','smoked fish','crabs','periwinkle','beef','fresh tomatoes','onions','pepper','kpakposhito','garlic','ginger','onions','kpakposhito paste','dry spices','salt','stock cube']",['ghanaian'],balanced,FALSE,FALSE,TRUE,FALSE,TRUE,"['lunch','dinner']",['soup'],"['high-fat','moderate-protein','balanced','moderate-carbs']",rOMGklmk,600,35,0,40,0
8ouQAYiA,Chow Mein,"['noodles','vegetables','soy sauce']",['asian'],high carb,TRUE,TRUE,FALSE,FALSE,TRUE,"['lunch','dinner']",['carb'],['balanced'],kN8TgBNn,450,10,0,15,0
GIUPX6ub,Fish and Chips,"['fish','potatoes']",['european'],high fat,FALSE,FALSE,FALSE,TRUE,TRUE,"['lunch','dinner']",['carb'],['balanced'],Ja3hogil,700,25,0,35,0
rVQ54L4L,Egusi Soup,"['melon seeds','spinach','meat']",['nigerian'],high protein,FALSE,FALSE,FALSE,FALSE,TRUE,"['lunch','dinner']",['soup'],['balanced'],ourl6ySJ,600,35,0,30,0
T48hYjUg,Pasta Primavera,"['pasta','vegetables','cream']",['european'],balanced,FALSE,TRUE,FALSE,FALSE,TRUE,"['lunch','dinner']",['carb'],['balanced'],I89z2bA2,400,12,0,10,0
XVYnkzLo,Tofu Stir Fry,"['tofu','vegetables','soy sauce']",['asian'],low calorie,TRUE,TRUE,TRUE,FALSE,TRUE,"['lunch','dinner']",['vegetable'],['balanced'],cPC9Wiq5,300,15,0,10,0
CFiXC5Xw,Fried Plantains,"['plantains','salt','oil']",['west african'],high carb,TRUE,TRUE,FALSE,FALSE,TRUE,['breakfast'],['side'],['moderate-carbs'],G7mN7iQ0,300,2,0,15,0
